Book Name,Author,Rating,Number of Reviews,Price
The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,4.6,2706.0,703
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,4.6,1884.0,11862
The Bhagavad Gita,Eknath Easwaran,4.7,1988.0,280
Mythos,Stephen Fry,4.6,2570.0,1093
Take Control of Your Life: How to Silence Fear and Win the Mental Game,Mel Robbins,3.9,10.0,1003
"Scion of Ikshvaku: Ram Chandra Series, Book 1",Amish,4.2,6475.0,836
Sita: Warrior of Mithila,Amish,4.4,3804.0,836
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5509.0,1599
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7018.0,1599
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,4.7,10362.0,999
A Suitable Boy (Dramatised),Vikram Seth,4.4,544.0,888
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,4.5,2295.0,668
Make Time: How to focus on what matters every day,Jake Knapp,4.6,350.0,615
The Other America - A Speech from The Radical King (Free),Dr. Martin Luther King Jr.,5.0,1.0,0
The Ride of a Lifetime: Lessons in Creative Leadership from the CEO of the Walt Disney Company,Robert Iger,4.7,3728.0,888
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.6,14042.0,1093
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,4.7,8684.0,1599
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5417.0,1599
The Big Store: Inside the Crisis and Revolution at Sears,Donald Katz,4.6,17.0,0
The Buddha and the Badass: The Secret Spiritual Art of Succeeding at Work,Vishen Lakhiani,4.8,341.0,1005
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.5,11918.0,670
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3350.0,1005
"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,4.7,1041.0,879
Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.6,5105.0,888
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People],Stephen R. Covey,4.4,558.0,1003
The Discomfort of Evening,Marieke Lucas Rijneveld,3.9,133.0,569
Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,3.6,230.0,0
Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1252.0,323
Man's Search for Meaning,Viktor E. Frankl,4.4,12868.0,468
Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2351.0,10378
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,4.6,5902.0,999
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1367.0,1138
The Alchemist (Hindi Edition),Paulo Coelho,4.4,796.0,668
The Girl on the Train,Paula Hawkins,4.0,70077.0,888
Wings of Fire,APJ Abdul Kalam,4.6,70.0,75
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3663.0,1506
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,5361.0,888
Sapiens,Yuval Noah Harari,4.6,329.0,1171
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1856.0,888
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,4.5,2.0,836
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.4,62.0,586
1984,George Orwell,4.5,16938.0,797
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,950.0,1093
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,27.0,1093
The Girl in Room 105,Chetan Bhagat,4.3,6638.0,568
Godaan (Hindi Edition),Munshi Premchand,4.4,1141.0,1003
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,4.0,621.0,233
Eat That Frog!,Brian Tracy,4.5,2081.0,351
Zen: The Art of Simple Living,Shunmyo Masuno,4.7,253.0,752
Anxious People,Fredrik Backman,4.5,18.0,888
Outliers: The Story of Success,Malcolm Gladwell,4.3,4439.0,500
Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,608.0,836
365 Panchatantra Stories,Adil Mukesh,4.2,424.0,668
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7255.0,585
365 Tales of Indian Mythology,Om Books International,4.4,238.0,836
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,459.0,668
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,4.7,18.0,0
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,826.0,469
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1378.0,500
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409.0,1093
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217.0,668
Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1754.0,501
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3.0,50.0,888
The Law of Success,Napoleon Hill,4.4,850.0,32
48 Laws of Power,Robert Greene,4.4,2097.0,820
Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,592.0,13345
The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,4.7,3936.0,608
Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,4.2,1039.0,1003
Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,4.6,98.0,501
The Forty Rules of Love,Elif Shafak,4.6,2343.0,752
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,2411.0,15817
Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154.0,1171
Peppa Pig: Bedtime Stories,Ladybird,4.7,64.0,342
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6888.0,18149
The Mahabharata Secret,Christopher C. Doyle,4.0,985.0,836
"Girl, Woman, Other",Bernardine Evaristo,4.5,2019.0,888
Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,4.5,1332.0,888
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,2973.0,888
How to Stop Worrying and Start Living,Dale Carnegie,4.5,5012.0,668
Maybe You Should Talk to Someone,Lori Gottlieb,4.7,3484.0,1328
Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,-1,,1439
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,3724.0,18149
"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",Mel Robbins,4.4,2311.0,668
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3373.0,10378
The Fountainhead,Ayn Rand,4.2,816.0,1054
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,4.6,663.0,1003
No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,4.7,1758.0,879
"Untamed: Stop Pleasing, Start Living",Glennon Doyle,4.7,5217.0,888
When Breath Becomes Air,Paul Kalanithi,4.6,11485.0,615
Who Will Cry When You Die?,Robin Sharma,4.5,5417.0,469
Caste: The Lies That Divide Us,Isabel Wilkerson,4.8,923.0,888
Kyon Se Shuruwat Karein [Start with Why]: Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People to Move Forward],Simon Sinek,-1,,836
Lok Vyavhar,Dale Carnegie,4.5,1412.0,668
The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung,4.7,7534.0,690
The Selfish Gene,Richard Dawkins,4.6,1881.0,836
A Short History of Nearly Everything,William Roberts,4.6,4297.0,797
The Art of War,Sun Tzu,4.2,9108.0,333
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],David Schwartz,4.5,805.0,836
The Great Indian Novel,Shashi Tharoor,4.3,197.0,879
The Great Gatsby,F. Scott Fitzgerald,4.2,10625.0,501
Cosmos,Carl Sagan,4.5,966.0,1005
Origin,Dan Brown,4.2,16094.0,1093
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,4.6,907.0,888
Essence of the Upanishads: A Key to Indian Spirituality,Eknath Easwaran,4.5,52.0,350
Rich Dad's Guide to Investing: What the Rich Invest In That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,1305.0,1005
Marketing 4.0: Moving from Traditional to Digital,Philip Kotler,4.4,378.0,469
No Excuses!: The Power of Self-Discipline for Success in Your Life,Brian Tracy,4.5,875.0,820
H.G. Wells: The Science Fiction Collection,H. G. Wells,-1,,1898
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu,4.5,1316.0,1206
Land of Seven Rivers,Sanjeev Sanyal,4.5,588.0,879
Rebecca,Daphne Du Maurier,4.5,2927.0,873
Apprenticed to a Himalayan Master: A Yogi's Autobiography,Sri M.,4.6,744.0,836
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.5,18875.0,10080
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,38253.0,1093
Chinta Chhodo Sukh Se Jiyo,Dale Carnegie,4.3,171.0,836
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,4.6,1782.0,879
How to Be a Bawse: A Guide to Conquering Life,Lilly Singh,4.6,2008.0,683
20 Bedtime Stories For Kids,div.,-1,,414
The Best of Akbar - Birbal: Immortal tales of wit and wisdom,Om Books International,-1,,501
The Arts of Seduction,Seema Anand,4.2,82.0,668
Das Think Like a Monk-Prinzip: Finde innere Ruhe und Kraft für ein erfülltes und sinnvolles Leben,Jay Shetty,-1,,703
1962: The War That Wasn't: The Definitive Account of the Clash Between India and China,Shiv Kunal Verma,4.3,172.0,1171
The Personal MBA: Master the Art of Business,Josh Kaufman,4.5,1492.0,836
The Monk Who Sold His Ferrari (Hindi): A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin Sharma,4.5,536.0,668
"The Magic Unicorn: Bedtime Stories for Kids: Short Funny, Fantasy Stories for Children and Toddlers to Help Them Fall Asleep and Relax. Fantastic Stories to Dream about for All Ages. Easy to Read.",Sarah Doll,4.3,30.0,501
The Da Vinci Code,Dan Brown,4.7,3822.0,1435
F*cking History: 111 Lessons You Should Have Learned in School,The Captain,5.0,182.0,754
Great Stories for Children,Ruskin Bond,4.5,1677.0,501
Breath: The New Science of a Lost Art,James Nestor,4.8,1328.0,888
Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out,Harvard Business Review,4.7,143.0,668
The Hospital: The FREE Short Story: The First Mountain Man Story,Keith C. Blackmore,3.9,399.0,0
Educated,Tara Westover,4.7,19469.0,888
The Girl with a Plan: Love in Times of Tinder,Shanaya Taneja,2.5,7.0,0
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,4.5,1332.0,879
The Order of Time: Narrated by Benedict Cumberbatch,Carlo Rovelli,4.5,928.0,615
I Want Your Boyfriend: Love in Times of Tinder,Shanaya Taneja,4.0,1.0,0
The Goal: A Process of Ongoing Improvement - 30th Anniversary Edition,Eliyahu M. Goldratt,4.6,1566.0,937
"Asura (Hindi Edition): Parajiton ki gatha, Ravana va uski praja ki kahani",Anand Neelkantan,2.0,1.0,1171
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,4.7,4452.0,633
Why I Am an Atheist and Other Works,Bhagat Singh,4.5,323.0,501
Time Management (Hindi Edition),Sudhir Dixit,4.4,1623.0,233
Diary of a Young Girl,Anne Frank,4.5,3313.0,888
Learn English with Innovative Language's Proven Language System - Level 05: Advanced: Advanced English #2,Innovative Language Learning,4.0,10.0,0
I Will Teach You to Be Rich: No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,4.7,2362.0,1171
Atlas Shrugged,Ayn Rand,4.3,5374.0,1406
What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,4.4,784.0,668
An Era of Darkness: The British Empire in India,Shashi Tharoor,4.5,1142.0,836
The Journey Home,Radhanath Swami,4.8,624.0,422
The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,4.5,2840.0,1172
"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win 5th Anniversary Edition",Gene Kim,4.7,4157.0,836
The Forest of Enchantments,Chitra Banerjee Divakaruni,4.5,594.0,836
The Complete Works of Swami Vivekananda: Volume 1,Swami Vivekananda,4.4,60.0,836
7 Secrets of Shiva: The Hindu Trinity Series,Devdutt Pattanaik,4.4,686.0,501
"The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns, 10th Anniversary Edition",John C. Bogle,4.7,1239.0,668
Honor Yourself,Diddy,-1,,0
The Mastery Manual (Hindi): A Life-Changing Guide for Personal and Professional Greatness,Robin Sharma,4.4,18.0,501
Lakshya [Goals],Brian Tracy,4.5,288.0,668
Pride and Prejudice,Jane Austen,-1,,836
"Guns, Germs and Steel: The Fate of Human Societies",Jared Diamond,4.4,2776.0,1256
Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,W. Chan Kim,4.5,1332.0,703
"How to Day Trade for a Living: A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Andrew Aziz,4.4,3562.0,668
"Trading for a Living: Psychology, Trading Tactics, Money Management",Alexander Elder,4.4,196.0,445
"Explicit Erotic Sex Stories: Gangbangs, Threesomes, Anal Sex, MILFs, BDSM, Rough Forbidden Adult, Taboo Collection",Cassidy Johnson,-1,,668
Digital Minimalism: On Living Better with Less Technology,Cal Newport,4.6,689.0,888
"You Can Heal Your Life (Unabridged, Adapted for Audio)",Louise L. Hay,4.6,1856.0,586
The Richest Man in Babylon,George S. Clason,4.5,7967.0,501
Super Thinking: Upgrade Your Reasoning and Make Better Decisions with Mental Models,Gabriel Weinberg,4.4,214.0,820
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.3,1675.0,837
A New Earth: Awakening Your Life's Purpose,Eckhart Tolle,4.7,5163.0,1131
Will You Still Love Me?,Ravinder Singh,4.5,807.0,1005
Nirmala (Hindi Edition),Munshi Premchand,4.4,482.0,836
Panchatantra,Pandit Vishnu Sharma,4.0,77.0,668
The Lord of the Rings: The Fellowship of the Ring (Dramatised),J. R. R Tolkien,4.7,2263.0,615
The Miracle of Mindfulness: The Classic Guide to Meditation by the World's Most Revered Master,Thich Nhat Hanh,4.4,579.0,615
Dark Matter,Blake Crouch,4.4,5051.0,323
Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Robert T. Kiyosaki,4.6,1675.0,837
MBA Kiye Bina Seekhen Business Ke Hunar [Learn Business Skills Without Getting an MBA],Josh Kaufman,4.4,94.0,1003
Kundalini: An Untold Story,Om Swami,4.4,810.0,501
The Psychology of Selling: The Art of Closing Sales,Brian Tracy,4.5,474.0,1439
Men Without Women,Haruki Murakami,4.2,892.0,558
Ashwathama,Ashutosh Garg,3.9,173.0,668
"Dont Lose Out, Work Out!",Rujuta Diwekar,-1,,668
"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting",Jimmy Moore,4.7,5566.0,668
Animal Farm,George Orwell,4.6,10729.0,645
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,4.5,4222.0,1195
Norse Mythology,Neil Gaiman,4.6,4821.0,569
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,4.5,1099.0,1063
Flirting with Stocks: Stock Market Investing for Beginners,Anil Lamba,4.3,181.0,501
Midnights with The Mystic: A Little Guide to Freedom and Bliss,Cheryl Simone,4.5,280.0,703
The Thirteen Principal Upanishads,uncredited,-1,,596
The Fault in Our Stars,John Green,4.5,43825.0,670
The Secret of Secrets: The Secret of the Golden Flower,Osho,4.6,36.0,516
The Ultimate Kids' Stories Collection,Roger William Wade,-1,,266
Yes Minister & Yes Prime Minister - The Complete Audio Collection,Antony Jay,4.8,24.0,1093
India's Wars: A Military History (1947-1971),Arjun Subramaniam,4.4,97.0,1003
Make It Stick: The Science of Successful Learning,Peter C. Brown,4.6,911.0,1172
Women and the Weight Loss Tamasha,Rujuta Diwekar,4.4,415.0,836
Moonflower Murders,Anthony Horowitz,4.6,58.0,888
You Are Here,Gabrielle Bernstein,-1,,0
The Everything Store,Brad Stone,4.5,2121.0,888
"Daughters of the Sun: Empresses, Queens and Begums of the Mughal Empire",Ira Mukhoty,4.5,96.0,836
Salman Rushdie: Audible Sessions: FREE Exclusive Interview,Salman Rushdie,3.5,3.0,0
The Vault of Vishnu,Ashwin Sanghi,4.4,698.0,836
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,4.5,798.0,1005
Turning Points: A Journey Through Challenges,A.P.J. Abdul Kalam,4.6,985.0,668
One Hundred Years of Solitude,Gabriel García Márquez,2.4,7.0,1069
A Course in Meditation: A 21-Day Workout for Your Consciousness,Osho,4.9,28.0,754
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.5,2118.0,5709
Kurukshetra (Hindi Edition),Dinkar,4.3,284.0,233
War and Peace,Leo Tolstoy,4.2,101.0,1406
Grit: The Power of Passion and Perseverance,Angela Duckworth,-1,,888
Crime and Punishment,Fyodor Dostoevsky,4.4,2745.0,1338
A History of India,Michael H. Fisher,-1,,1405
Timeless Tales for Kids,E. Nesbit,-1,,721
Metamorphosis: A BBC Radio 4 Reading,Franz Kafka,4.5,64.0,615
The Infinite Game: How Great Businesses Achieve Long-lasting Success,Simon Sinek,4.7,1467.0,888
I Too Had a Love Story,Ravinder Singh,4.5,2863.0,703
"Emotional Intelligence, 10th Edition",Daniel Goleman,-1,,836
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,4.7,7978.0,820
Psycho-Cybernetics: Updated and Expanded,Maxwell Maltz,4.7,334.0,1131
The War of Art,Steven Pressfield,4.5,5093.0,233
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,4.7,2190.0,388
Death on the Nile: Poirot,Agatha Christie,4.6,1086.0,8062
Breaking the Habit of Being Yourself,Joe Dispenza,4.7,3619.0,836
You Can Win,Shiv Khera,4.6,1617.0,569
"The 1-Page Marketing Plan: Get New Customers, Make More Money, And Stand Out From The Crowd",Allan Dib,4.7,1703.0,668
"The Body Keeps the Score: Mind, Brain and Body in the Transformation of Trauma",Bessel van der Kolk,4.8,8191.0,1093
The Easy Way to Stop Smoking,Allen Carr,4.6,2360.0,569
Bad Blood,John Carreyrou,4.7,4648.0,323
Die Empty: Unleash Your Best Work Every Day,Todd Henry,4.3,290.0,656
Your Wish Is My Command: Love in Times of Tinder,Shanaya Taneja,4.0,2.0,0
Learn English with Innovative Language's Proven Language System - Level 3: Beginner English: Beginner English #4,Innovative Language Learning,3.5,2.0,0
The Silk Roads: A New History of the World,Peter Frankopan,4.6,1775.0,1338
As a Man Thinketh,James Allen,4.4,4840.0,132
Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,4.5,851.0,836
Unlearn: 101 Simple Truths for a Better Life,Humble the Poet,4.7,676.0,5373
Circe,Madeline Miller,4.5,6468.0,721
Super Attractor: Methods for Manifesting a Life Beyond Your Wildest Dreams,Gabrielle Bernstein,4.7,1648.0,1003
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,4.8,16284.0,656
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,4.6,2996.0,11862
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.5,507.0,752
"Inspired: How to Create Tech Products Customers Love, Second Edition",Marty Cagan,4.6,569.0,668
Siddhartha (Hindi Edition),Herman Hesse,4.4,142.0,668
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,4.3,889.0,694
The Wellness Sense: A Practical Guide to Your Physical and Emotional Health Based on Ayurvedic and Yogic Wisdom,Om Swami,4.7,105.0,668
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,4.1,2105.0,879
Tribe of Mentors: Short Life Advice from the Best in the World,Tim Ferriss,4.5,1299.0,1338
Rise of Kali: Duryodhana's Mahabharata,Anand Neelakantan,4.5,483.0,1003
Indian Summer: The Secret History of the End of an Empire,Alex von Tunzelmann,4.4,376.0,1545
Captain Cool: The MS Dhoni Story,Gulu Ezekiel,4.0,60.0,668
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.5,8313.0,888
Learn French with Innovative Language's Proven Language System - Level 1: Introduction to French: Introduction French #2,Innovative Language Learning,3.0,2.0,0
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,4.6,2388.0,836
"Free Interview: Susie Bright Speaks with Paul Bloom, Author of How Pleasure Works",Paul Bloom,-1,,0
Seriously...I'm Kidding,Ellen DeGeneres,4.1,1674.0,500
No Filter: The Inside Story of Instagram,Sarah Frier,4.4,93.0,888
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,5254.0,879
"7 Mindsets for Success, Happiness and Fulfilment",Swami Mukundananda,4.7,519.0,668
Autobiography of a Yogi,Paramhansa Yogananda,-1,,702
Peppa Pig: Once Upon a Time,Ladybird,4.8,30.0,342
The Great Mental Models: General Thinking Concepts,Shane Parrish,4.4,214.0,836
"Game Changers: What Leaders, Innovators and Mavericks Do to Win at Life",Dave Asprey,4.7,430.0,8735
Mossad: The Greatest Missions of the Israeli Secret Service,Michael Bar-Zohar,4.6,1847.0,820
"Heroes: Mortals and Monsters, Quests and Adventures",Stephen Fry,4.8,84.0,1093
Coronavirus: A Book for Children,Elizabeth Jenner,4.5,601.0,0
Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier,4.4,389.0,615
The Handmaid's Tale,Margaret Atwood,4.4,15607.0,1093
Bhartiya Pauranik Kathaein [Indian Mythology],Devdutt Pattanaik,3.9,86.0,668
Swami Vivekananda: A Biography,Gautam Ghosh,4.2,35.0,668
Syahhashiye Aur Anya Kahaniyan [Syllabus and Other Stories],Saadat Hasan Manto,4.0,2.0,668
Yayaati,Vishnu Sakharam Khandekar,4.4,120.0,1003
"The Yugas: Keys to Understanding Our Hidden Past, Emerging Energy Age and Enlightened Future",Joseph Selbie,4.6,63.0,703
Jeeves & Wooster: The Collected Radio Dramas,P.G. Wodehouse,4.6,40.0,1093
The Yoga Sutras of Patanjali,Sri Swami Satchidananda,4.8,1319.0,668
"The Most Beloved Children’s Bedtime Stories: 15 Aesop’s Fables for Kids, The Three Little Pigs, Little Red Riding Hood, Goldilocks and the Three Bears, Snow White and the Seven Dwarfs and Many More",Joanna White,-1,,501
Losing My Virginity,Richard Branson,4.6,770.0,615
